
"135582","000280","2016学年度第二学期总评","1","语文","2016-2017-2","5","2017/6/28 00:00:00","13561","72","0.515826","84.12661","0.1818182",Exception(DoesNotExist('Student matching query does not exist.'))
"135582","000280","2016学年度第二学期总评","1","语文","2016-2017-2","5","2017/6/28 00:00:00","13923","63","-0.1681785","78.65457","0.8137472",Exception(DoesNotExist('Student matching query does not exist.'))
"135583","000280","2016学年度第二学期总评","2","数学","2016-2017-2","5","2017/6/28 00:00:00","13561","61","-0.175856","78.59315","0.691796",Exception(DoesNotExist('Student matching query does not exist.'))
"134630","000275","宁波“十校”2017届高三5月适应性考试","2","数学","2016-2017-2","7","2017/5/25 00:00:00","12837","116","0.3161724","82.52938","0.4006024",Exception(DoesNotExist('Student matching query does not exist.'))
"134630","000275","宁波“十校”2017届高三5月适应性考试","2","数学","2016-2017-2","7","2017/5/25 00:00:00","12847","104","-0.4570816","76.34335","0.683735",Exception(DoesNotExist('Student matching query does not exist.'))
"134630","000275","宁波“十校”2017届高三5月适应性考试","2","数学","2016-2017-2","7","2017/5/25 00:00:00","12956","118","0.4450481","83.56039","0.373494",Exception(DoesNotExist('Student matching query does not exist.'))
"134631","000275","宁波“十校”2017届高三5月适应性考试","3","英语","2016-2017-2","7","2017/5/25 00:00:00","12562","112","-0.8570498","73.1436","0.8173375",Exception(DoesNotExist('Student matching query does not exist.'))
"134631","000275","宁波“十校”2017届高三5月适应性考试","3","英语","2016-2017-2","7","2017/5/25 00:00:00","12590","108","-1.283594","69.73125","0.8823529",Exception(DoesNotExist('Student matching query does not exist.'))
"134631","000275","宁波“十校”2017届高三5月适应性考试","3","英语","2016-2017-2","7","2017/5/25 00:00:00","12593","127.5","0.7958084","86.36647","0.244582",Exception(DoesNotExist('Student matching query does not exist.'))
"134631","000275","宁波“十校”2017届高三5月适应性考试","3","英语","2016-2017-2","7","2017/5/25 00:00:00","12837","106","-1.496866","68.02507","0.9009288",Exception(DoesNotExist('Student matching query does not exist.'))
"134631","000275","宁波“十校”2017届高三5月适应性考试","3","英语","2016-2017-2","7","2017/5/25 00:00:00","12847","108.5","-1.230276","70.15779","0.8606811",Exception(DoesNotExist('Student matching query does not exist.'))
"134631","000275","宁波“十校”2017届高三5月适应性考试","3","英语","2016-2017-2","7","2017/5/25 00:00:00","12956","121.5","0.1559923","81.24794","0.495356",Exception(DoesNotExist('Student matching query does not exist.'))
"134592","000275","宁波“十校”2017届高三5月适应性考试","1","语文","2016-2017-2","7","2017/5/25 00:00:00","12483","120","1.285173","90.28138","0.09411765",Exception(DoesNotExist('Student matching query does not exist.'))
"134592","000275","宁波“十校”2017届高三5月适应性考试","1","语文","2016-2017-2","7","2017/5/25 00:00:00","12486","-2","","","",Exception(DoesNotExist('Student matching query does not exist.'))
"134592","000275","宁波“十校”2017届高三5月适应性考试","1","语文","2016-2017-2","7","2017/5/25 00:00:00","12504","-2","","","",Exception(DoesNotExist('Student matching query does not exist.'))
"134592","000275","宁波“十校”2017届高三5月适应性考试","1","语文","2016-2017-2","7","2017/5/25 00:00:00","12511","108","-0.5329635","75.73629","0.6941177",Exception(DoesNotExist('Student matching query does not exist.'))
"134592","000275","宁波“十校”2017届高三5月适应性考试","1","语文","2016-2017-2","7","2017/5/25 00:00:00","12534","115","0.527616","84.22092","0.3764706",Exception(DoesNotExist('Student matching query does not exist.'))
"134593","000275","宁波“十校”2017届高三5月适应性考试","2","数学","2016-2017-2","7","2017/5/25 00:00:00","12483","111","-0.9365707","72.50743","0.8095238",Exception(DoesNotExist('Student matching query does not exist.'))
"134593","000275","宁波“十校”2017届高三5月适应性考试","2","数学","2016-2017-2","7","2017/5/25 00:00:00","12486","-2","","","",Exception(DoesNotExist('Student matching query does not exist.'))
